Title,Source,Description,Keywords
"Joshoku kaiko tewaza-gusa, shi, go, roku・・ｻﾂﾂ・・ｻ・ｽ･・ｽｳ・・ｻ・ｽｹ・・ｻ・・ｻ・・ｻ・・ｻ・・ｻ・・ｻ・・ｻ・・ｻ・ｽ･・ｽｭ・・ｻ・・ｻ・・ｻ・・ｻﾂﾂ・・ｻ・・ｻ・・ｻ~・・ｻ・・ｻ・ｽｭ (Women Engaged in the Sericulture Industry, Nos. 4-6)",https://research.britishmuseum.org/collectionimages/AN00611/AN00611849_001_l.jpg,"Colour woodblock-printed triptych. Three sheets from twelve-sheet composition. Three stages of silk production by female workers: Re-activating worms after sleep, feeding larvae with mulberry leaves, putting cocoons on trays. Nishiki-e on paper. Inscribed, signed and marked.",silk production;fuzoku
Shimotsuke Kurokami-yama Kirifuri no taki / Kanto Meisho Zue,https://research.britishmuseum.org/collectionimages/AN00535/AN00535338_001_l.jpg,"Woodblock print. Rural landscape. Kirifuri Falls, at Kurokami-yama. Nishiki-e on paper.",waterfall/cascade;landscape
drawing,https://research.britishmuseum.org/collectionimages/AN00759/AN00759033_001_l.jpg,Sketch. Chinese lion with front legs together. Ink on paper. Inscribed.,lion dog
Kannazuki ・・ｻ・ｽ･・・ｻ・・ｻ・・ｻ・ｽ｡・・ｻ・・ｻ・・ｻ (Tenth Month) / Bijin juni shi・・ｻﾂﾂ・・ｻ・ｽｾ・・ｻ・・ｻ・ｽｺ・ｽｺ・・ｻ・・ｻ・・ｻ・・ｻ・ｽｺ・・ｻ・・ｻ・ｽｧ・ｽｿ (Twelve Forms of Beauty),https://research.britishmuseum.org/collectionimages/AN00434/AN00434712_001_l.jpg,Print. Girl by an open window in the rain. One of a set of prints for the twelve months. Colour woodblock printed.,bijin
painting,https://research.britishmuseum.org/collectionimages/AN00759/AN00759764_001_l.jpg,Sketch. Warrior attacking tiger. Ink on paper.,warrior;mammal
Ju Senju kagai yori chobo no Fuji ・・ｻ・ｽｾ・・ｻ・・ｻ・・ｻ・・ｻ・・ｻ・ｽｽ・・ｻ・・ｻ・・ｻ・ｽｱ・・ｻ・ｽ｡・・ｻ・・ｻ・・ｻ・ｽｺ・・ｻ・・ｻ・・ｻ・・ｻ・・ｻ・・ｻ・・ｻ・ｽｸ・・ｻ・・ｻ・ｽｺ・・ｻ (Fuji Seen in the Distance from Senju Pleasure Quarter) / Fugaku sanjurokkei ・・ｻ・・ｻ・ｽｨ・・ｻ・ｽｶ・ｽｽ・・ｻ・ｽｸ・・ｻ・・ｻ・・ｻ・・ｻ・・ｻ・・ｻ・ｽｭ・・ｻ・・ｻ・ｽｯ (Thirty-six Views of Mt. Fuji),https://research.britishmuseum.org/collectionimages/AN00512/AN00512867_001_l.jpg,Colour woodblock oban print. Procession of 'alternate attendance' passing Senju in autumn: Gun-carriers' muskets sheathed in red cases; decorated tips of the spear-bearers' weapons behind trees; sandals hanging under eaves at roadside tea-stall straw; two women seated on raised path through harvested fields; Mt Fuji covered with snow in distance. Nishiki-e on paper. Inscribed and signed.,landscape;brothel/brothel-keeper
print,https://research.britishmuseum.org/collectionimages/AN00527/AN00527145_001_l.jpg,"Colour woodblock print. Bijinga. Okita of Naniwaya at her shop; young woman serving tea; older woman seated on beanch; with lantern and curtains; with poems. Nishiki-e on paper. Signed , inscribed and marked.",bijin
print,https://research.britishmuseum.org/collectionimages/AN00418/AN00418004_001_l.jpg,"Woodblock print. Actor Ichikawa Danjuro II as Soga no Sukeroku, Nakamura Takesaburo as Agemaki, in play Shikirei yawaragi Sogata. Inscribed, signed, sealed and marked.",kabuki;actor/actress
Suzumi no hotaru / Shiki no yukan,https://research.britishmuseum.org/collectionimages/AN00695/AN00695557_001_l.jpg,"Woodblock print, triptych. Three girls with fans by a stream on summer evening; girl holding box for catching fireflies. Nishiki-e on paper.",insect;child;bijin
Keisei mitate hakkei (Courtesans Viewed as the Eight Views) / Yamato hakkei - Miho matsubara (Eight Views of Japan - Miho matsubara),https://research.britishmuseum.org/collectionimages/AN00533/AN00533970_001_l.jpg,"Woodblock print. Bijinga. Natori of the Sugata-Ebiya standing in front of tokonoma with paper in hands, inset view of Miho. Nishiki-e on paper.",bijin;architectural feature;mitate
drawing,https://research.britishmuseum.org/collectionimages/AN00792/AN00792438_001_l.jpg,Sketch. Man lifting sake cask with one arm. Ink on paper.,food/drink
Jin / Five Virtues,https://research.britishmuseum.org/collectionimages/AN00423/AN00423167_001_l.jpg,Woodblock print. Bijinga. A girl shaving her younger sister's neck. Nishiki-e on paper.,child;bijin
